transverse_pos_mm,intensity_tem0_norm,intensity_tem1_norm
-0.9998248879471319,0.007075005383522521,0.09314126554577513
-0.999077459977376,0.0071367029307397006,0.09343390807973183
-0.997733248625514,0.007248616841046043,0.09396095028859695
-0.9957927585349813,0.007412319320307699,0.09472382472071823
-0.9932571129002128,0.007630001473777922,0.09572527553377633
-0.9901278184917344,0.007904438857197726,0.0969704093801091
-0.9864067427245863,0.00823892114970994,0.09846803271469644
-0.9820961084357185,0.008637162471436257,0.10023239256726728
-0.9771984914639074,0.009103196821377585,0.10228535366850015
-0.9717168187471366,0.009641266452056528,0.10465900886514241
-0.9656543664319652,0.010255717180903127,0.10739866676724538
-0.9590147578536999,0.010950922981729628,0.1105660835721236
-0.9518019613412644,0.01173127238381924,0.1142427035356172
-0.9440202878302202,0.012601260499329166,0.11853254756774095
-0.9356743882779164,0.013565741506205823,0.12356425111776188
-0.9267692508789478,0.014630404903267715,0.12949161843325308
-0.9173101980809606,0.01580254168734672,0.13649195795028543
-0.9073028834017569,0.017092159830881408,0.14476143079262124
-0.8967532880491582,0.01851348767432447,0.15450672714607508
-0.8856677173453973,0.020086864997107406,0.16593263238083739
-0.8740527969580318,0.021840961943739377,0.17922549789052236
-0.8619154689395485,0.023815185990746647,0.19453331095047788
-0.8492629875779689,0.026062041823073322,0.21194394440683004
-0.8361029150609068,0.028649109804868414,0.23146418361756646
-0.8224431169556439,0.03166022448765965,0.25300312499084493
-0.8082917575079136,0.03519539104199309,0.27636429126257384
-0.7936572947621934,0.03936900476110691,0.3012510248335864
-0.7785484755064118,0.04430606614680895,0.3272890915738528
-0.7629743300440948,0.05013633193748818,0.3540686897611082
-0.746944166797062,0.056986712183709105,0.3812050886529995
-0.7304675667419088,0.06497268722304927,0.4084130390408253
-0.7135543776835874,0.07419001136824996,0.4355853572778779
-0.6962147083695144,0.0847083895484123,0.4628615094747985
-0.6784589224477192,0.09656902750870384,0.49066876091155365
-0.6602976322726459,0.10978782713407459,0.5197178110681855
-0.6417416925623074,0.12436541517527279,0.5509379805053174
-0.6228021939105849,0.14030411491131217,0.585344619310134
-0.6034904561585486,0.1576304650942364,0.6238432415979088
-0.5838180216287631,0.17642016398417457,0.666989554880224
-0.5637966482266181,0.19682070640970192,0.7147394261427253
-0.5434383024128102,0.21906591641417758,0.7662343712962814
-0.5227551520511755,0.24347648950806683,0.8196726034669176
-0.5017595591361445,0.270441866875878,0.872310016674377
-0.480464072404172,0.30038135368463265,0.9206185352973089
-0.45888141983355213,0.33368612079212756,0.9606025263138146
-0.4370245010371041,0.3706479958827993,0.9882419035337496
-0.414906379552275,0.41138487638893395,0.9999999999999938
-0.3925402750332674,0.4557751925853407,0.9933130596272228
-0.3699395553498591,0.5034142604367291,0.9669730180062479
-0.34711772859763546,0.5536031299443281,0.9213295638736457
-0.3240884350244133,0.605375784760628,0.8582699341560791
-0.30086543887767725,0.6575640574888124,0.7809789864615698
-0.2774626201779044,0.7088926898617285,0.6935274078617715
-0.2538939664226943,0.7580911157284473,0.600370830533728
-0.23017356422666002,0.8040051432991281,0.5058576862921966
-0.20631559090207924,0.8456915857802282,0.41383464009934223
-0.18233430598533712,0.882482074401347,0.32740806444748416
-0.15824404271422493,0.9140080141646456,0.2488772616108903
-0.13405919946118777,0.940185549289499,0.1798126708120771
-0.10979423112764372,0.9611659355593225,0.1212223655466323
-0.08546364050451549,0.9772615607232642,0.07374053963705839
-0.061081969604139495,0.9888602896675773,0.03778314029883872
-0.0366637909687335,0.9963408300312978,0.013641935056741095
-0.012223698960615793,1.0,0.0015180632380759178
0.012223698960615793,1.0,0.001518063238075974
0.0366637909687335,0.9963408300312987,0.013641935056741236
0.061081969604139495,0.988860289667579,0.037783140298839016
0.08546364050451549,0.9772615607232655,0.07374053963705905
0.10979423112764372,0.9611659355593245,0.12122236554663356
0.13405919946118777,0.9401855492895005,0.17981267081207836
0.15824404271422493,0.9140080141646467,0.24887726161089252
0.18233430598533712,0.8824820744013485,0.3274080644474854
0.20631559090207924,0.8456915857802304,0.41383464009934434
0.23017356422666002,0.8040051432991314,0.5058576862922003
0.2538939664226943,0.7580911157284497,0.6003708305337321
0.2774626201779044,0.7088926898617303,0.6935274078617755
0.30086543887767725,0.6575640574888139,0.7809789864615739
0.3240884350244133,0.605375784760628,0.858269934156081
0.34711772859763546,0.5536031299443286,0.9213295638736497
0.3699395553498591,0.5034142604367305,0.9669730180062515
0.3925402750332674,0.4557751925853426,0.9933130596272298
0.414906379552275,0.4113848763889344,1.0
0.4370245010371041,0.3706479958828006,0.9882419035337563
0.45888141983355213,0.3336861207921293,0.9606025263138198
0.480464072404172,0.3003813536846336,0.9206185352973147
0.5017595591361445,0.270441866875879,0.8723100166743804
0.5227551520511755,0.2434764895080677,0.8196726034669222
0.5434383024128102,0.21906591641417889,0.7662343712962854
0.5637966482266181,0.19682070640970414,0.7147394261427291
0.5838180216287631,0.1764201639841759,0.6669895548802292
0.6034904561585486,0.1576304650942378,0.6238432415979127
0.6228021939105849,0.14030411491131353,0.5853446193101389
0.6417416925623074,0.12436541517527436,0.5509379805053216
0.6602976322726459,0.10978782713407573,0.5197178110681888
0.6784589224477192,0.09656902750870477,0.4906687609115571
0.6962147083695144,0.08470838954841353,0.46286150947480353
0.7135543776835874,0.07419001136825108,0.43558535727788045
0.7304675667419088,0.06497268722305037,0.40841303904082676
0.746944166797062,0.056986712183710334,0.3812050886530017
0.7629743300440948,0.05013633193748904,0.3540686897611106
0.7785484755064118,0.04430606614680975,0.32728909157385416
0.7936572947621934,0.039369004761107995,0.3012510248335867
0.8082917575079136,0.03519539104199403,0.2763642912625747
0.8224431169556439,0.031660224487660614,0.2530031249908459
0.8361029150609068,0.028649109804869014,0.23146418361756696
0.8492629875779689,0.026062041823074103,0.21194394440683154
0.8619154689395485,0.02381518599074737,0.1945333109504789
0.8740527969580318,0.02184096194374012,0.17922549789052314
0.8856677173453973,0.02008686499710812,0.16593263238083805
0.8967532880491582,0.018513487674324994,0.15450672714607594
0.9073028834017569,0.017092159830882022,0.1447614307926212
0.9173101980809606,0.015802541687347432,0.1364919579502859
0.9267692508789478,0.014630404903268257,0.1294916184332538
0.9356743882779164,0.013565741506206343,0.12356425111776177
0.9440202878302202,0.012601260499329676,0.11853254756774093
0.9518019613412644,0.011731272383819843,0.11424270353561754
0.9590147578536999,0.010950922981730098,0.11056608357212366
0.9656543664319652,0.010255717180903547,0.1073986667672456
0.9717168187471366,0.009641266452056966,0.10465900886514241
0.9771984914639074,0.00910319682137783,0.10228535366850011
0.9820961084357185,0.008637162471436595,0.10023239256726735
0.9864067427245863,0.008238921149709975,0.0984680327146962
0.9901278184917344,0.007904438857198142,0.0969704093801091
0.9932571129002128,0.00763000147377831,0.09572527553377642
0.9957927585349813,0.0074123193203080116,0.09472382472071722
0.997733248625514,0.007248616841046247,0.09396095028859759
0.999077459977376,0.00713670293073991,0.09343390807973145
0.9998248879471319,0.007075005383521458,0.09314126554576944
