fresnel_number,loss_flat_flat,loss_vainshtein,loss_curved_g08,loss_confocal_g00
0.6,0.13649950850087988,0.40635652064133315,0.07732931616981809,0.006241242687184512
0.7526315789473684,0.10271035939361017,0.33148720495762146,0.038795936471385684,0.0010741691229902983
0.9052631578947368,0.0887842072313727,0.2755529303808774,0.021080808432501263,0.00017731301763790341
1.0578947368421052,0.07384132779121222,0.2326679462663256,0.012952690541193856,2.8590576816589497e-05
1.2105263157894737,0.058657154982330595,0.19906760360017103,0.0076531958288992286,4.540710594191921e-06
1.3631578947368421,0.05083605124916046,0.17225305710841807,0.0039404688058993775,7.134384725215881e-07
1.5157894736842104,0.045354102858143897,0.15051287313130154,0.0020088891621795613,1.1119317422370045e-07
1.668421052631579,0.03991812409624573,0.132643016500894,0.0010631809028859296,1.722078823984674e-08
1.8210526315789473,0.03671350338833712,0.11777648139076481,0.0005140091177086026,2.6534912045406145e-09
1.973684210526316,0.03367631508765334,0.10527610973655739,0.00023513779428252501,4.071578629805117e-10
2.126315789473684,0.02921683869263414,0.09466516683789208,0.00012342473518822672,6.22624174440034e-11
2.278947368421053,0.025592055217605436,0.08558120423072522,7.327890421826577e-05,9.487743923841663e-12
2.431578947368421,0.023874169052950922,0.07774469227662653,4.395162388981522e-05,1.4441781104324036e-12
2.5842105263157893,0.02233212952687269,0.07093725596180774,2.580859651213352e-05,2.1826984664130578e-13
2.736842105263158,0.02119712188049705,0.06498629511514888,1.575638265549628e-05,3.441691376337985e-14
2.8894736842105266,0.02043807497477057,0.05975393502152403,9.004474309071142e-06,4.218847493575595e-15
3.042105263157895,0.018989477595508286,0.055128968010627166,4.205078379948546e-06,5.10702591327572e-15
3.194736842105263,0.016948059540006333,0.05102089527882413,1.934511388967941e-06,3.1086244689504383e-15
3.3473684210526318,0.015475746444984062,0.04735546589133386,9.685983154428257e-07,4.218847493575595e-15
3.5,0.014488251091253401,0.04407129794679097,4.779350879502431e-07,1.7763568394002505e-15
