z_over_zr,w_exact_normalized,w_forvard_normalized,w_fresnel_normalized
0.1,1.004987562112089,1.0049875621133855,1.0260923009164427
0.5,1.118033988749895,1.1180339887790756,1.180979302316514
1.0,1.4142135623730951,1.414213562465302,1.511511455464364
2.0,2.23606797749979,2.236067977716241,2.3574864686780286
4.0,4.123105625617661,4.123114366601587,4.254220384512302
