transverse_pos_mm,intensity_0urad,intensity_100urad,intensity_200urad
-1.1997898655365582,0.0002142297656657948,7.39987091475605e-05,0.0002865938185723678
-1.1988929519728508,0.00021595710522939474,7.359761782029101e-05,0.0002829286584860225
-1.1972798983506165,0.0002191198658696459,7.288952654072565e-05,0.00027638651771841056
-1.1949513102419773,0.00022381809565107544,7.19001280683464e-05,0.00026706525445506247
-1.1919085354802554,0.00023020634848248215,7.067275194374393e-05,0.0002551308614686036
-1.1881533821900812,0.00023850646942808108,6.927467548552906e-05,0.00024083866776013682
-1.1836880912695031,0.0002490239770270255,6.7805232097918e-05,0.00022455843334345926
-1.178515330122862,0.00026216842661891377,6.640512999882522e-05,0.00020679864326688947
-1.1726381897566889,0.0002784773505520407,6.526608637700952e-05,0.00018822492562851851
-1.1660601824965637,0.0002986427665508412,6.463930378353316e-05,0.00016966639830125272
-1.158785239718358,0.00032353850577321623,6.48405489380403e-05,0.00015210297499739596
-1.1508177094244398,0.00035424584757218566,6.624869380218392e-05,0.00013662671209219425
-1.1421623536095171,0.00039207443113467496,6.929368617314832e-05,0.00012437165601479272
-1.132824345396264,0.0004385756086152695,7.442931212832606e-05,0.00011640981426730842
-1.1228092659334996,0.0004955469825951769,8.208626107164385e-05,0.00011361607477844143
-1.1121231010547372,0.0005650306703399276,9.260258114688042e-05,0.00011651198898309649
-1.1007722376971525,0.0006493147090331507,0.00010613246714655768,0.00012510657418304285
-1.0887634600821081,0.0007509575176963174,0.00012254132963593396,0.00013876025719232265
-1.0761039456589898,0.0008728692499663779,0.00014130583963378374,0.00015610376618126065
-1.0628012608144768,0.0010184996182997636,0.0001614519103556778,0.0001750449574265996
-1.0488633563496381,0.0011921957977957772,0.00018157965470174574,0.00019289143613541955
-1.0342985627274581,0.0013998005551151406,0.0002000383247566538,0.0002066047785759716
-1.0191155850935627,0.0016495522647655841,0.00021531955502545393,0.0002131843378196941
-1.003323498073088,0.001953317335913752,0.00022672512178553405,0.0002101579277716543
-0.9869317403467726,0.0023281271560344967,0.00023532670145651972,0.00019613686520030338
-0.9699501090094962,0.0027979087234520665,0.0002451638303498196,0.0001713766571926665
-0.9523887537146319,0.003395205391592322,0.0002645252483100383,0.0001382718528007056
-0.9342581706076941,0.004162610884283883,0.0003070457271136076,0.00010170043172256977
-0.9155691960529136,0.005153627712694386,0.00039226207416718617,6.911459503477767e-05
-0.8963330001564743,0.006432754771523191,0.0005452624297171557,5.0251214333399794e-05
-0.8765610800902904,0.008074836948786744,0.0007951922813494267,5.6320993625353555e-05
-0.8562652532203048,0.010164060807159538,0.0011726910310871236,9.85659085098396e-05
-0.8354576500434171,0.012793381508695814,0.0017068158009234384,0.00018620179712807854
-0.814150706937263,0.01606547494078415,0.002422572598321654,0.00032403355624361285
-0.7923571587271749,0.020096336614860162,0.003340630196908659,0.0005104431739648122
-0.7700900310747688,0.025022219390622245,0.004480879020337212,0.0007369083551672039
-0.7473626326927019,0.03100964206288839,0.005870963464373417,0.0009904912768458909
-0.7241885473902582,0.03826683141147229,0.0075596425830525855,0.0012605333024400596
-0.7005816259545156,0.04705354430575103,0.009632971787488514,0.0015498244343665922
-0.6765559778719417,0.05768531147730954,0.012229347520167012,0.001888735638090248
-0.6521259628953722,0.07052833549240696,0.015548214739191752,0.002348581869712359
-0.6273061824614106,0.08598291265555999,0.01984756481226141,0.0030486924419350137
-0.6021114709633733,0.10445618361134183,0.02542779049792556,0.004151482704775352
-0.5765568868850064,0.12632847364027674,0.03260382708618966,0.005842254223031603
-0.5506577038002625,0.15192018796926599,0.04167264732672134,0.008295676489300463
-0.5244294012445249,0.18146683961257085,0.05288713905775283,0.011637738330782013
-0.4978876554627299,0.21510751408426002,0.06644803664274608,0.015917840650808916
-0.4710483300399208,0.2528872124769253,0.08252151479958056,0.021107442908742075
-0.4439274664198309,0.2947676093301382,0.10128155828362978,0.027136861036552013
-0.4165412743171625,0.34063619916447585,0.12296560367024476,0.03397033172674544
-0.388906122029296,0.39030287457325874,0.14792306547624245,0.041704306848461534
-0.3610385266532127,0.4434767770944317,0.17663324853555576,0.050660653561129844
-0.3329551442134852,0.4997239663850052,0.2096742787875755,0.06144102688929127
-0.3046727597072331,0.558415396968203,0.2476375731840594,0.0749148970342772
-0.27620827707199197,0.6186813408582458,0.2909993311257432,0.09213089685782173
-0.24757870908249507,0.6793898474703761,0.33997583233052503,0.11416397706961517
-0.21880116718240453,0.7391621530502137,0.3943973699806927,0.141931279862498
-0.1898928512570699,0.7964286638082655,0.45363324102046537,0.17602028707972442
-0.1608710393534253,0.8495186047176446,0.516587905175481,0.21657005926135287
-0.13175307735317243,0.8967684076968814,0.5817702809494415,0.2632317184088408
-0.10255636860541857,0.9366309836742207,0.6474201242287367,0.3152132121597869
-0.07329836352496738,0.967770608285444,0.7116630876747252,0.37139268126551334
-0.0439965491624802,0.9891345611771308,0.772662617313902,0.4304700018496132
-0.014668438752738952,0.9999999999999997,0.8287423659158687,0.4911201515805442
0.014668438752738952,1.0,0.8784645590582287,0.5521151904131446
0.0439965491624802,0.9891345611771319,0.9206634592721368,0.6123922999189428
0.07329836352496738,0.9677706082854475,0.9544444285067633,0.6710608105889512
0.10255636860541857,0.9366309836742228,0.9791650450471088,0.7273578254085031
0.13175307735317243,0.8967684076968844,0.99441427655923,0.7805755169868162
0.1608710393534253,0.8495186047176474,1.0,0.8299892140625517
0.1898928512570699,0.7964286638082695,0.9959469988761683,0.8748117291152318
0.21880116718240453,0.7391621530502185,0.9825003700213091,0.9141873241088381
0.24757870908249507,0.6793898474703803,0.9601257547651739,0.94722330119242
0.27620827707199197,0.6186813408582497,0.9294989315159452,0.9730451750278457
0.3046727597072331,0.5584153969682082,0.8914819200446222,0.9908577773314768
0.3329551442134852,0.4997239663850091,0.8470882067679155,1.0
0.3610385266532127,0.44347677709443395,0.7974431931937336,0.9999908498816122
0.388906122029296,0.3903028745732621,0.7437459199659675,0.9905723188391323
0.4165412743171625,0.34063619916447846,0.6872349266673499,0.9717551054924479
0.4439274664198309,0.2947676093301417,0.6291568369816647,0.943865964794871
0.4710483300399208,0.2528872124769269,0.5707334600510311,0.9075848926465766
0.4978876554627299,0.21510751408426174,0.5131235247908885,0.8639533149942205
0.5244294012445249,0.1814668396125728,0.4573785316205609,0.8143361774734208
0.5506577038002625,0.1519201879692674,0.404396913842731,0.7603319693348923
0.5765568868850064,0.12632847364027797,0.3548843700973575,0.7036409538027445
0.6021114709633733,0.10445618361134315,0.3093290161124577,0.6459162313565211
0.6273061824614106,0.0859829126555608,0.26799744467907843,0.5886285968414469
0.6521259628953722,0.07052833549240797,0.23095289864612162,0.5329720160626771
0.6765559778719417,0.05768531147731032,0.19809146811146394,0.4798239917829226
0.7005816259545156,0.047053544305751975,0.16918841818204852,0.42975931604281886
0.7241885473902582,0.038266831411472774,0.14394555153635819,0.3831025152520304
0.7473626326927019,0.031009642062888622,0.12203192860789348,0.33999767297939265
0.7700900310747688,0.02502221939062251,0.10311341920035014,0.30047520757508794
0.7923571587271749,0.020096336614860294,0.0868701536161339,0.2645017315563314
0.814150706937263,0.016065474940784388,0.07300383379294566,0.23200795722110548
0.8354576500434171,0.012793381508695991,0.06123841379807655,0.20289741821095256
0.8562652532203048,0.010164060807159708,0.05131781023718402,0.17704343030228617
0.8765610800902904,0.008074836948786803,0.04300344376966159,0.15428270132498126
0.8963330001564743,0.006432754771523319,0.036073115399487994,0.13441212439589675
0.9155691960529136,0.005153627712694466,0.03032150363173368,0.11719201297512412
0.9342581706076941,0.004162610884283888,0.025561750485366005,0.1023557985325048
0.9523887537146319,0.003395205391592322,0.021627275747908944,0.08962397199790821
0.9699501090094962,0.0027979087234521723,0.018373033767800605,0.07871914761480076
0.9869317403467726,0.0023281271560344867,0.01567573339455009,0.06937938805771217
1.003323498073088,0.001953317335913806,0.013432904506899455,0.0613678985449174
1.0191155850935627,0.0016495522647656583,0.01156098876278193,0.054478377068109846
1.0342985627274581,0.0013998005551152353,0.009992799432789617,0.048536317299572855
